number_people,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour
23,33611,5,1,0,69.55,0,0,8,9
23,34213,5,1,0,69.55,0,0,8,9
28,34814,5,1,0,69.55,0,0,8,9
23,35416,5,1,0,69.55,0,0,8,9
22,36017,5,1,0,70.36,0,0,8,10
30,37212,5,1,0,70.36,0,0,8,10
32,37812,5,1,0,70.36,0,0,8,10
36,38413,5,1,0,70.36,0,0,8,10
29,39014,5,1,0,70.36,0,0,8,10
34,39617,5,1,0,72.84,0,0,8,11
36,40811,5,1,0,72.84,0,0,8,11
32,41412,5,1,0,72.84,0,0,8,11
27,42013,5,1,0,72.84,0,0,8,11
26,42613,5,1,0,72.84,0,0,8,11
36,43216,5,1,0,76.95,0,0,8,12
37,44411,5,1,0,76.95,0,0,8,12
38,45012,5,1,0,76.95,0,0,8,12
30,45615,5,1,0,76.95,0,0,8,12
34,46217,5,1,0,76.95,0,0,8,12
26,46820,5,1,0,80.16,0,0,8,13
33,48011,5,1,0,80.16,0,0,8,13
31,48616,5,1,0,80.16,0,0,8,13
26,49217,5,1,0,80.16,0,0,8,13
26,49818,5,1,0,80.16,0,0,8,13
26,50419,5,1,0,79.98,0,0,8,14
23,51612,5,1,0,79.98,0,0,8,14
29,52213,5,1,0,79.98,0,0,8,14
27,52816,5,1,0,79.98,0,0,8,14
29,53418,5,1,0,79.98,0,0,8,14
25,54023,5,1,0,78.79,0,0,8,15
29,55211,5,1,0,78.79,0,0,8,15
35,55812,5,1,0,78.79,0,0,8,15
32,56413,5,1,0,78.79,0,0,8,15
36,57014,5,1,0,78.79,0,0,8,15
31,57615,5,1,0,78.51,0,0,8,16
24,58811,5,1,0,78.51,0,0,8,16
26,59412,5,1,0,78.51,0,0,8,16
28,60012,5,1,0,78.51,0,0,8,16
33,60613,5,1,0,78.51,0,0,8,16
26,61215,5,1,0,77.32,0,0,8,17
31,62410,5,1,0,77.32,0,0,8,17
39,63011,5,1,0,77.32,0,0,8,17
43,63612,5,1,0,77.32,0,0,8,17
40,64213,5,1,0,77.32,0,0,8,17
36,64814,5,1,0,75.62,0,0,8,18
43,66011,5,1,0,75.62,0,0,8,18
38,66612,5,1,0,75.62,0,0,8,18
32,67214,5,1,0,75.62,0,0,8,18
29,67815,5,1,0,75.62,0,0,8,18
31,68416,5,1,0,73.61,0,0,8,19
27,69610,5,1,0,73.61,0,0,8,19
23,70211,5,1,0,73.61,0,0,8,19
29,70812,5,1,0,73.61,0,0,8,19
28,71412,5,1,0,73.61,0,0,8,19
29,72013,5,1,0,71.49,0,0,8,20
29,73211,5,1,0,71.49,0,0,8,20
31,73812,5,1,0,71.49,0,0,8,20
28,74412,5,1,0,71.49,0,0,8,20
33,75013,5,1,0,71.49,0,0,8,20
26,75614,5,1,0,69.48,0,0,8,21
25,76810,5,1,0,69.48,0,0,8,21
29,77411,5,1,0,69.48,0,0,8,21
22,78012,5,1,0,69.48,0,0,8,21
24,78613,5,1,0,69.48,0,0,8,21
26,79213,5,1,0,67.75,0,0,8,22
22,80411,5,1,0,67.75,0,0,8,22
25,81011,5,1,0,67.75,0,0,8,22
26,81612,5,1,0,67.75,0,0,8,22
12,82213,5,1,0,67.75,0,0,8,22
17,82814,5,1,0,66.53,0,0,8,23
4,84010,5,1,0,66.53,0,0,8,23
2,84611,5,1,0,66.53,0,0,8,23
0,85212,5,1,0,66.53,0,0,8,23
0,85812,5,1,0,66.53,0,0,8,23
0,13,6,1,0,65.77,0,0,8,0
0,1210,6,1,0,65.77,0,0,8,0
0,1811,6,1,0,65.77,0,0,8,0
0,2412,6,1,0,65.77,0,0,8,0
0,3013,6,1,0,65.77,0,0,8,0
0,3613,6,1,0,65.69,0,0,8,1
0,19211,6,1,0,64.72,0,0,8,5
0,19811,6,1,0,64.72,0,0,8,5
0,20412,6,1,0,64.72,0,0,8,5
0,21013,6,1,0,64.72,0,0,8,5
0,21613,6,1,0,65.2,0,0,8,6
0,22811,6,1,0,65.2,0,0,8,6
0,23411,6,1,0,65.2,0,0,8,6
0,24012,6,1,0,65.2,0,0,8,6
0,24613,6,1,0,65.2,0,0,8,6
1,25214,6,1,0,66.91,0,0,8,7
0,26410,6,1,0,66.91,0,0,8,7
0,27011,6,1,0,66.91,0,0,8,7
2,27612,6,1,0,66.91,0,0,8,7
2,28213,6,1,0,66.91,0,0,8,7
3,28813,6,1,0,69.39,0,0,8,8
12,30010,6,1,0,69.39,0,0,8,8
18,30611,6,1,0,69.39,0,0,8,8
11,31212,6,1,0,69.39,0,0,8,8
16,31813,6,1,0,69.39,0,0,8,8
15,32413,6,1,0,72.14,0,0,8,9
18,33611,6,1,0,72.14,0,0,8,9
17,34211,6,1,0,72.14,0,0,8,9
12,34812,6,1,0,72.14,0,0,8,9
22,35413,6,1,0,72.14,0,0,8,9
23,36014,6,1,0,74.51,0,0,8,10
27,37210,6,1,0,74.51,0,0,8,10
25,37811,6,1,0,74.51,0,0,8,10
20,38412,6,1,0,74.51,0,0,8,10
25,39013,6,1,0,74.51,0,0,8,10
19,39613,6,1,0,77.42,0,0,8,11
18,40810,6,1,0,77.42,0,0,8,11
25,41411,6,1,0,77.42,0,0,8,11
29,42012,6,1,0,77.42,0,0,8,11
24,42613,6,1,0,77.42,0,0,8,11
29,43213,6,1,0,78.94,0,0,8,12
22,44410,6,1,0,78.94,0,0,8,12
20,45011,6,1,0,78.94,0,0,8,12
34,45612,6,1,0,78.94,0,0,8,12
19,46212,6,1,0,78.94,0,0,8,12
16,46813,6,1,0,79.2,0,0,8,13
27,48010,6,1,0,79.2,0,0,8,13
28,48611,6,1,0,79.2,0,0,8,13
24,49212,6,1,0,79.2,0,0,8,13
26,49812,6,1,0,79.2,0,0,8,13
16,50413,6,1,0,81.17,0,0,8,14
20,51610,6,1,0,81.17,0,0,8,14
21,52211,6,1,0,81.17,0,0,8,14
20,52812,6,1,0,81.17,0,0,8,14
22,53413,6,1,0,81.17,0,0,8,14
19,54013,6,1,0,80.61,0,0,8,15
27,55210,6,1,0,80.61,0,0,8,15
31,55811,6,1,0,80.61,0,0,8,15
32,56412,6,1,0,80.61,0,0,8,15
27,57012,6,1,0,80.61,0,0,8,15
27,57613,6,1,0,79.85,0,0,8,16
24,58810,6,1,0,79.85,0,0,8,16
29,59411,6,1,0,79.85,0,0,8,16
25,60012,6,1,0,79.85,0,0,8,16
30,60613,6,1,0,79.85,0,0,8,16
31,61213,6,1,0,78.79,0,0,8,17
40,62410,6,1,0,78.79,0,0,8,17
30,63010,6,1,0,78.79,0,0,8,17
35,63611,6,1,0,78.79,0,0,8,17
34,64213,6,1,0,78.79,0,0,8,17
31,64813,6,1,0,76.75,0,0,8,18
34,66009,6,1,0,76.75,0,0,8,18
36,66609,6,1,0,76.75,0,0,8,18
27,67210,6,1,0,76.75,0,0,8,18
33,67811,6,1,0,76.75,0,0,8,18
38,68412,6,1,0,74.36,0,0,8,19
41,69608,6,1,0,74.36,0,0,8,19
39,70209,6,1,0,74.36,0,0,8,19
39,70810,6,1,0,74.36,0,0,8,19
41,71410,6,1,0,74.36,0,0,8,19
28,72011,6,1,0,71.6,0,0,8,20
38,73208,6,1,0,71.6,0,0,8,20
38,73809,6,1,0,71.6,0,0,8,20
39,74410,6,1,0,71.6,0,0,8,20
25,75011,6,1,0,71.6,0,0,8,20
32,75611,6,1,0,70.65,0,0,8,21
32,76808,6,1,0,70.65,0,0,8,21
26,77409,6,1,0,70.65,0,0,8,21
31,78009,6,1,0,70.65,0,0,8,21
26,78610,6,1,0,70.65,0,0,8,21
38,79211,6,1,0,68.85,0,0,8,22
34,80408,6,1,0,68.85,0,0,8,22
35,81009,6,1,0,68.85,0,0,8,22
24,81610,6,1,0,68.85,0,0,8,22
31,82211,6,1,0,68.85,0,0,8,22
22,82811,6,1,0,67.93,0,0,8,23
21,84008,6,1,0,67.93,0,0,8,23
17,84608,6,1,0,67.93,0,0,8,23
19,85210,6,1,0,67.93,0,0,8,23
22,85810,6,1,0,67.93,0,0,8,23
17,11,0,0,0,65.76,0,0,8,0
17,1209,0,0,0,65.76,0,0,8,0
14,1809,0,0,0,65.76,0,0,8,0
9,2410,0,0,0,65.76,0,0,8,0
11,3011,0,0,0,65.76,0,0,8,0
6,3611,0,0,0,64.97,0,0,8,1
3,19208,0,0,0,63.73,0,0,8,5
1,19809,0,0,0,63.73,0,0,8,5
4,20410,0,0,0,63.73,0,0,8,5
0,21011,0,0,0,63.73,0,0,8,5
9,21612,0,0,0,63.42,0,0,8,6
9,22808,0,0,0,63.42,0,0,8,6
16,23409,0,0,0,63.42,0,0,8,6
18,24010,0,0,0,63.42,0,0,8,6
13,24611,0,0,0,63.42,0,0,8,6
23,25212,0,0,0,64.69,0,0,8,7
26,26408,0,0,0,64.69,0,0,8,7
23,27009,0,0,0,64.69,0,0,8,7
17,27610,0,0,0,64.69,0,0,8,7
27,28211,0,0,0,64.69,0,0,8,7
23,28811,0,0,0,65.53,0,0,8,8
38,30008,0,0,0,65.53,0,0,8,8
24,30609,0,0,0,65.53,0,0,8,8
23,31210,0,0,0,65.53,0,0,8,8
32,31811,0,0,0,65.53,0,0,8,8
31,32412,0,0,0,66.71,0,0,8,9
31,33609,0,0,0,66.71,0,0,8,9
32,34210,0,0,0,66.71,0,0,8,9
34,34810,0,0,0,66.71,0,0,8,9
39,35411,0,0,0,66.71,0,0,8,9
39,36012,0,0,0,67.83,0,0,8,10
33,37209,0,0,0,67.83,0,0,8,10
33,37810,0,0,0,67.83,0,0,8,10
37,38411,0,0,0,67.83,0,0,8,10
29,39012,0,0,0,67.83,0,0,8,10
32,39612,0,0,0,67.81,0,0,8,11
35,40810,0,0,0,67.81,0,0,8,11
26,41410,0,0,0,67.81,0,0,8,11
34,42011,0,0,0,67.81,0,0,8,11
29,42612,0,0,0,67.81,0,0,8,11
28,43213,0,0,0,68.76,0,0,8,12
32,44409,0,0,0,68.76,0,0,8,12
27,45010,0,0,0,68.76,0,0,8,12
26,45611,0,0,0,68.76,0,0,8,12
27,46212,0,0,0,68.76,0,0,8,12
31,46813,0,0,0,70.75,0,0,8,13
33,48009,0,0,0,70.75,0,0,8,13
31,48610,0,0,0,70.75,0,0,8,13
30,49211,0,0,0,70.75,0,0,8,13
28,49812,0,0,0,70.75,0,0,8,13
27,50413,0,0,0,70.18,0,0,8,14
30,51609,0,0,0,70.18,0,0,8,14
18,52210,0,0,0,70.18,0,0,8,14
27,52810,0,0,0,70.18,0,0,8,14
37,53411,0,0,0,70.18,0,0,8,14
33,54012,0,0,0,69.65,0,0,8,15
33,55208,0,0,0,69.65,0,0,8,15
44,55809,0,0,0,69.65,0,0,8,15
43,56410,0,0,0,69.65,0,0,8,15
48,57011,0,0,0,69.65,0,0,8,15
45,57612,0,0,0,67.99,0,0,8,16
50,58808,0,0,0,67.99,0,0,8,16
42,59409,0,0,0,67.99,0,0,8,16
45,60009,0,0,0,67.99,0,0,8,16
47,60610,0,0,0,67.99,0,0,8,16
47,61210,0,0,0,67.04,0,0,8,17
55,62409,0,0,0,67.04,0,0,8,17
68,63010,0,0,0,67.04,0,0,8,17
50,63610,0,0,0,67.04,0,0,8,17
58,64211,0,0,0,67.04,0,0,8,17
65,64812,0,0,0,64.26,0,0,8,18
63,66009,0,0,0,64.26,0,0,8,18
63,66609,0,0,0,64.26,0,0,8,18
74,67210,0,0,0,64.26,0,0,8,18
69,67811,0,0,0,64.26,0,0,8,18
69,68411,0,0,0,63.04,0,0,8,19
60,69609,0,0,0,63.04,0,0,8,19
68,70210,0,0,0,63.04,0,0,8,19
73,70811,0,0,0,63.04,0,0,8,19
50,71412,0,0,0,63.04,0,0,8,19
53,72012,0,0,0,62,0,0,8,20
50,73209,0,0,0,62,0,0,8,20
45,73809,0,0,0,62,0,0,8,20
52,74410,0,0,0,62,0,0,8,20
66,75010,0,0,0,62,0,0,8,20
64,75611,0,0,0,62,0,0,8,21
60,76809,0,0,0,62,0,0,8,21
44,77409,0,0,0,62,0,0,8,21
50,78010,0,0,0,62,0,0,8,21
46,78611,0,0,0,62,0,0,8,21
39,79212,0,0,0,62,0,0,8,22
42,80409,0,0,0,62,0,0,8,22
49,81009,0,0,0,62,0,0,8,22
34,81610,0,0,0,62,0,0,8,22
32,82211,0,0,0,62,0,0,8,22
35,82812,0,0,0,62,0,0,8,23
27,84009,0,0,0,62,0,0,8,23
21,84609,0,0,0,62,0,0,8,23
28,85209,0,0,0,62,0,0,8,23
23,85810,0,0,0,62,0,0,8,23
20,11,1,0,0,62,0,0,8,0
19,1208,1,0,0,62,0,0,8,0
15,1809,1,0,0,62,0,0,8,0
15,2410,1,0,0,62,0,0,8,0
18,3010,1,0,0,62,0,0,8,0
12,3611,1,0,0,61.8,0,0,8,1
0,19209,1,0,0,61.73,0,0,8,5
0,19809,1,0,0,61.73,0,0,8,5
0,20410,1,0,0,61.73,0,0,8,5
0,21011,1,0,0,61.73,0,0,8,5
2,21611,1,0,0,61.73,0,0,8,6
7,22809,1,0,0,61.73,0,0,8,6
10,23410,1,0,0,61.73,0,0,8,6
11,24010,1,0,0,61.73,0,0,8,6
6,24611,1,0,0,61.73,0,0,8,6
17,25211,1,0,0,61.73,0,0,8,7
14,26409,1,0,0,61.73,0,0,8,7
20,27009,1,0,0,61.73,0,0,8,7
19,27610,1,0,0,61.73,0,0,8,7
22,28211,1,0,0,61.73,0,0,8,7
27,28811,1,0,0,62.01,0,0,8,8
32,30009,1,0,0,62.01,0,0,8,8
36,30610,1,0,0,62.01,0,0,8,8
35,31211,1,0,0,62.01,0,0,8,8
39,31811,1,0,0,62.01,0,0,8,8
35,32412,1,0,0,63.47,0,0,8,9
34,33609,1,0,0,63.47,0,0,8,9
34,34210,1,0,0,63.47,0,0,8,9
28,34810,1,0,0,63.47,0,0,8,9
19,35411,1,0,0,63.47,0,0,8,9
32,36012,1,0,0,64.96,0,0,8,10
48,37208,1,0,0,64.96,0,0,8,10
47,37809,1,0,0,64.96,0,0,8,10
37,38410,1,0,0,64.96,0,0,8,10
32,39010,1,0,0,64.96,0,0,8,10
30,39611,1,0,0,66.18,0,0,8,11
35,40809,1,0,0,66.18,0,0,8,11
26,41410,1,0,0,66.18,0,0,8,11
26,42010,1,0,0,66.18,0,0,8,11
22,42611,1,0,0,66.18,0,0,8,11
29,43211,1,0,0,66.18,0,0,8,12
31,44410,1,0,0,66.18,0,0,8,12
28,45010,1,0,0,66.18,0,0,8,12
24,45611,1,0,0,66.18,0,0,8,12
30,46212,1,0,0,66.18,0,0,8,12
34,46812,1,0,0,67.41,0,0,8,13
36,48009,1,0,0,67.41,0,0,8,13
29,48610,1,0,0,67.41,0,0,8,13
31,49211,1,0,0,67.41,0,0,8,13
24,49812,1,0,0,67.41,0,0,8,13
27,50412,1,0,0,67.69,0,0,8,14
36,51609,1,0,0,67.69,0,0,8,14
36,52210,1,0,0,67.69,0,0,8,14
44,52810,1,0,0,67.69,0,0,8,14
32,53411,1,0,0,67.69,0,0,8,14
28,54011,1,0,0,67.21,0,0,8,15
36,55210,1,0,0,67.21,0,0,8,15
43,55810,1,0,0,67.21,0,0,8,15
32,56411,1,0,0,67.21,0,0,8,15
37,57011,1,0,0,67.21,0,0,8,15
34,57612,1,0,0,66.68,0,0,8,16
33,58810,1,0,0,66.68,0,0,8,16
41,59411,1,0,0,66.68,0,0,8,16
41,59708,1,0,0,66.68,0,0,8,16
35,60011,1,0,0,66.68,0,0,8,16
43,60612,1,0,0,66.68,0,0,8,16
45,61213,1,0,0,65.96,0,0,8,17
53,62409,1,0,0,65.96,0,0,8,17
61,63010,1,0,0,65.96,0,0,8,17
63,63610,1,0,0,65.96,0,0,8,17
51,64211,1,0,0,65.96,0,0,8,17
62,64812,1,0,0,65.22,0,0,8,18
62,66009,1,0,0,65.22,0,0,8,18
56,66610,1,0,0,65.22,0,0,8,18
71,67210,1,0,0,65.22,0,0,8,18
72,67811,1,0,0,65.22,0,0,8,18
54,68412,1,0,0,64,0,0,8,19
63,69609,1,0,0,64,0,0,8,19
67,70209,1,0,0,64,0,0,8,19
65,70810,1,0,0,64,0,0,8,19
53,71411,1,0,0,64,0,0,8,19
62,72011,1,0,0,63.73,0,0,8,20
60,73209,1,0,0,63.73,0,0,8,20
44,73809,1,0,0,63.73,0,0,8,20
44,74410,1,0,0,63.73,0,0,8,20
43,75011,1,0,0,63.73,0,0,8,20
35,75612,1,0,0,63.73,0,0,8,21
38,76809,1,0,0,63.73,0,0,8,21
44,77409,1,0,0,63.73,0,0,8,21
40,78010,1,0,0,63.73,0,0,8,21
54,78611,1,0,0,63.73,0,0,8,21
41,79211,1,0,0,63.2,0,0,8,22
45,80409,1,0,0,63.2,0,0,8,22
37,81010,1,0,0,63.2,0,0,8,22
40,81610,1,0,0,63.2,0,0,8,22
36,82211,1,0,0,63.2,0,0,8,22
41,82811,1,0,0,63,0,0,8,23
32,84009,1,0,0,63,0,0,8,23
29,84610,1,0,0,63,0,0,8,23
27,85210,1,0,0,63,0,0,8,23
27,85811,1,0,0,63,0,0,8,23
23,11,2,0,0,63,0,0,8,0
14,1209,2,0,0,63,0,0,8,0
15,1809,2,0,0,63,0,0,8,0
12,2410,2,0,0,63,0,0,8,0
7,3010,2,0,0,63,0,0,8,0
6,3612,2,0,0,62.73,0,0,8,1
2,19209,2,0,0,63,0,0,8,5
4,19809,2,0,0,63,0,0,8,5
6,20410,2,0,0,63,0,0,8,5
5,21011,2,0,0,63,0,0,8,5
10,21611,2,0,0,63,0,0,8,6
10,22809,2,0,0,63,0,0,8,6
12,23410,2,0,0,63,0,0,8,6
9,24010,2,0,0,63,0,0,8,6
12,24611,2,0,0,63,0,0,8,6
21,25211,2,0,0,63.01,0,0,8,7
23,26409,2,0,0,63.01,0,0,8,7
21,27010,2,0,0,63.01,0,0,8,7
15,27610,2,0,0,63.01,0,0,8,7
26,28211,2,0,0,63.01,0,0,8,7
31,28811,2,0,0,62.96,0,0,8,8
37,30009,2,0,0,62.96,0,0,8,8
31,30610,2,0,0,62.96,0,0,8,8
24,31210,2,0,0,62.96,0,0,8,8
32,31811,2,0,0,62.96,0,0,8,8
36,32411,2,0,0,63,0,0,8,9
24,33610,2,0,0,63,0,0,8,9
27,34210,2,0,0,63,0,0,8,9
21,34811,2,0,0,63,0,0,8,9
26,35411,2,0,0,63,0,0,8,9
29,36012,2,0,0,63.2,0,0,8,10
31,37209,2,0,0,63.2,0,0,8,10
34,37810,2,0,0,63.2,0,0,8,10
35,38410,2,0,0,63.2,0,0,8,10
42,39011,2,0,0,63.2,0,0,8,10
34,39612,2,0,0,63.93,0,0,8,11
35,40809,2,0,0,63.93,0,0,8,11
43,41410,2,0,0,63.93,0,0,8,11
38,42010,2,0,0,63.93,0,0,8,11
31,42611,2,0,0,63.93,0,0,8,11
45,43212,2,0,0,64.66,0,0,8,12
39,44409,2,0,0,64.66,0,0,8,12
33,45010,2,0,0,64.66,0,0,8,12
30,45611,2,0,0,64.66,0,0,8,12
32,46211,2,0,0,64.66,0,0,8,12
38,46812,2,0,0,65.95,0,0,8,13
29,48009,2,0,0,65.95,0,0,8,13
32,48609,2,0,0,65.95,0,0,8,13
39,49210,2,0,0,65.95,0,0,8,13
25,49810,2,0,0,65.95,0,0,8,13
20,50411,2,0,0,66.15,0,0,8,14
35,51609,2,0,0,66.15,0,0,8,14
30,52210,2,0,0,66.15,0,0,8,14
28,52810,2,0,0,66.15,0,0,8,14
32,53411,2,0,0,66.15,0,0,8,14
29,54012,2,0,0,66.87,0,0,8,15
30,55209,2,0,0,66.87,0,0,8,15
40,55810,2,0,0,66.87,0,0,8,15
39,56411,2,0,0,66.87,0,0,8,15
46,57011,2,0,0,66.87,0,0,8,15
35,57612,2,0,0,66.66,0,0,8,16
40,58809,2,0,0,66.66,0,0,8,16
47,59410,2,0,0,66.66,0,0,8,16
50,60010,2,0,0,66.66,0,0,8,16
60,60611,2,0,0,66.66,0,0,8,16
66,61212,2,0,0,66.45,0,0,8,17
61,62409,2,0,0,66.45,0,0,8,17
70,63010,2,0,0,66.45,0,0,8,17
64,63611,2,0,0,66.45,0,0,8,17
57,64211,2,0,0,66.45,0,0,8,17
49,64813,2,0,0,65.73,0,0,8,18
65,66009,2,0,0,65.73,0,0,8,18
61,66609,2,0,0,65.73,0,0,8,18
54,67210,2,0,0,65.73,0,0,8,18
54,67811,2,0,0,65.73,0,0,8,18
55,68411,2,0,0,64.64,0,0,8,19
45,69609,2,0,0,64.64,0,0,8,19
58,70209,2,0,0,64.64,0,0,8,19
63,70811,2,0,0,64.64,0,0,8,19
58,71411,2,0,0,64.64,0,0,8,19
48,72012,2,0,0,64.73,0,0,8,20
44,73209,2,0,0,64.73,0,0,8,20
40,73809,2,0,0,64.73,0,0,8,20
65,74410,2,0,0,64.73,0,0,8,20
53,75011,2,0,0,64.73,0,0,8,20
58,75612,2,0,0,64.73,0,0,8,21
50,76809,2,0,0,64.73,0,0,8,21
53,77410,2,0,0,64.73,0,0,8,21
47,78010,2,0,0,64.73,0,0,8,21
53,78611,2,0,0,64.73,0,0,8,21
44,79211,2,0,0,64.2,0,0,8,22
47,80409,2,0,0,64.2,0,0,8,22
38,81010,2,0,0,64.2,0,0,8,22
45,81610,2,0,0,64.2,0,0,8,22
47,82211,2,0,0,64.2,0,0,8,22
37,82812,2,0,0,64.49,0,0,8,23
27,84008,2,0,0,64.49,0,0,8,23
25,84609,2,0,0,64.49,0,0,8,23
31,85209,2,0,0,64.49,0,0,8,23
28,85810,2,0,0,64.49,0,0,8,23
21,11,3,0,0,64.28,0,0,8,0
12,1210,3,0,0,64.28,0,0,8,0
12,1810,3,0,0,64.28,0,0,8,0
7,2411,3,0,0,64.28,0,0,8,0
7,3011,3,0,0,64.28,0,0,8,0
6,3612,3,0,0,63.76,0,0,8,1
0,19209,3,0,0,62,0,0,8,5
1,19809,3,0,0,62,0,0,8,5
1,20410,3,0,0,62,0,0,8,5
5,21011,3,0,0,62,0,0,8,5
6,21611,3,0,0,62,0,0,8,6
10,22814,3,0,0,62,0,0,8,6
9,23415,3,0,0,62,0,0,8,6
11,24015,3,0,0,62,0,0,8,6
13,24615,3,0,0,62,0,0,8,6
15,25216,3,0,0,61.76,0,0,8,7
23,26409,3,0,0,61.76,0,0,8,7
29,27009,3,0,0,61.76,0,0,8,7
28,27610,3,0,0,61.76,0,0,8,7
32,28210,3,0,0,61.76,0,0,8,7
36,28811,3,0,0,61.2,0,0,8,8
38,30009,3,0,0,61.2,0,0,8,8
32,30610,3,0,0,61.2,0,0,8,8
24,31211,3,0,0,61.2,0,0,8,8
33,31811,3,0,0,61.2,0,0,8,8
25,32412,3,0,0,61.73,0,0,8,9
20,33609,3,0,0,61.73,0,0,8,9
21,34210,3,0,0,61.73,0,0,8,9
17,34810,3,0,0,61.73,0,0,8,9
23,35411,3,0,0,61.73,0,0,8,9
28,36012,3,0,0,61.76,0,0,8,10
39,37209,3,0,0,61.76,0,0,8,10
30,37810,3,0,0,61.76,0,0,8,10
36,38411,3,0,0,61.76,0,0,8,10
32,39012,3,0,0,61.76,0,0,8,10
24,39612,3,0,0,62.2,0,0,8,11
36,40808,3,0,0,62.2,0,0,8,11
34,41409,3,0,0,62.2,0,0,8,11
35,42010,3,0,0,62.2,0,0,8,11
30,42611,3,0,0,62.2,0,0,8,11
32,43212,3,0,0,62.18,0,0,8,12
29,44409,3,0,0,62.18,0,0,8,12
28,45010,3,0,0,62.18,0,0,8,12
34,45611,3,0,0,62.18,0,0,8,12
30,46212,3,0,0,62.18,0,0,8,12
33,46812,3,0,0,62.93,0,0,8,13
36,48008,3,0,0,62.93,0,0,8,13
30,48609,3,0,0,62.93,0,0,8,13
38,49210,3,0,0,62.93,0,0,8,13
33,49811,3,0,0,62.93,0,0,8,13
46,50412,3,0,0,64.14,0,0,8,14
30,51609,3,0,0,64.14,0,0,8,14
30,52209,3,0,0,64.14,0,0,8,14
27,52810,3,0,0,64.14,0,0,8,14
33,53411,3,0,0,64.14,0,0,8,14
43,54011,3,0,0,64.93,0,0,8,15
31,55209,3,0,0,64.93,0,0,8,15
47,55809,3,0,0,64.93,0,0,8,15
49,56410,3,0,0,64.93,0,0,8,15
56,57010,3,0,0,64.93,0,0,8,15
41,57611,3,0,0,64.18,0,0,8,16
38,58809,3,0,0,64.18,0,0,8,16
44,59410,3,0,0,64.18,0,0,8,16
48,60011,3,0,0,64.18,0,0,8,16
55,60612,3,0,0,64.18,0,0,8,16
55,61212,3,0,0,63.73,0,0,8,17
53,62408,3,0,0,63.73,0,0,8,17
61,63009,3,0,0,63.73,0,0,8,17
57,63609,3,0,0,63.73,0,0,8,17
55,64210,3,0,0,63.73,0,0,8,17
54,64811,3,0,0,63.2,0,0,8,18
44,66009,3,0,0,63.2,0,0,8,18
57,66609,3,0,0,63.2,0,0,8,18
54,67210,3,0,0,63.2,0,0,8,18
